record	instance	pairs	proven_pairs	status
R44	sf_bq059	1	0	ELAB_FAIL
R45	sf_bq060	1	0	PROOF_FAIL
R45	sf_bq060	1	0	PROOF_FAIL
R45	sf_bq060	1	0	PROOF_FAIL
R45	sf_bq060	1	0	PROOF_FAIL
R45	sf_bq060	1	0	PROOF_FAIL
R45	sf_bq060	1	1	PROVEN
R46	sf_bq061	1	0	TIMEOUT
R46	sf_bq061	1	0	TIMEOUT
R46	sf_bq061	1	0	TIMEOUT
R46	sf_bq061	1	0	TIMEOUT
R46	sf_bq061	1	0	TIMEOUT
R46	sf_bq061	1	0	TIMEOUT
R48	sf_bq064	1	0	ELAB_FAIL
R48	sf_bq064	1	0	ELAB_FAIL
R48	sf_bq064	1	0	ELAB_FAIL
R48	sf_bq064	1	0	ELAB_FAIL
R48	sf_bq064	1	0	ELAB_FAIL
R48	sf_bq064	1	0	ELAB_FAIL
R49	sf_bq065	1	0	ELAB_FAIL
R49	sf_bq065	1	0	ELAB_FAIL
R49	sf_bq065	1	0	ELAB_FAIL
R49	sf_bq065	1	0	ELAB_FAIL
R49	sf_bq065	1	0	ELAB_FAIL
R49	sf_bq065	1	0	ELAB_FAIL
R50	sf_bq067	1	0	ELAB_FAIL
R50	sf_bq067	1	0	ELAB_FAIL
R50	sf_bq067	1	0	ELAB_FAIL
R50	sf_bq067	1	0	ELAB_FAIL
R50	sf_bq067	1	0	ELAB_FAIL
R50	sf_bq067	1	0	ELAB_FAIL
R52	sf_bq071	1	0	ELAB_FAIL
R52	sf_bq071	1	0	ELAB_FAIL
R52	sf_bq071	1	0	ELAB_FAIL
R53	sf_bq073	1	0	TIMEOUT
R53	sf_bq073	1	0	TIMEOUT
R53	sf_bq073	1	0	TIMEOUT
R54	sf_bq074	1	0	ELAB_FAIL
R54	sf_bq074	1	0	TIMEOUT
R54	sf_bq074	1	0	TIMEOUT
R54	sf_bq074	1	0	TIMEOUT
R54	sf_bq074	1	0	TIMEOUT
R54	sf_bq074	1	0	TIMEOUT
R55	sf_bq075	1	0	ELAB_FAIL
R55	sf_bq075	1	0	ELAB_FAIL
R55	sf_bq075	1	0	ELAB_FAIL
R55	sf_bq075	1	0	ELAB_FAIL
R55	sf_bq075	1	0	ELAB_FAIL
R55	sf_bq075	1	0	ELAB_FAIL
R56	sf_bq076	1	0	ELAB_FAIL
R56	sf_bq076	1	0	ELAB_FAIL
R56	sf_bq076	1	0	ELAB_FAIL
R57	sf_bq078	1	0	ELAB_FAIL
R57	sf_bq078	1	0	ELAB_FAIL
R57	sf_bq078	1	0	ELAB_FAIL
R58	sf_bq079	1	0	ELAB_FAIL
R58	sf_bq079	1	0	ELAB_FAIL
R58	sf_bq079	1	0	ELAB_FAIL
R58	sf_bq079	1	0	ELAB_FAIL
R58	sf_bq079	1	0	ELAB_FAIL
R58	sf_bq079	1	0	ELAB_FAIL
R60	sf_bq084	1	0	ELAB_FAIL
R60	sf_bq084	1	0	ELAB_FAIL
R60	sf_bq084	1	0	ELAB_FAIL
R60	sf_bq084	1	0	ELAB_FAIL
R60	sf_bq084	1	0	ELAB_FAIL
R60	sf_bq084	1	0	ELAB_FAIL
R61	sf_bq085	1	0	ELAB_FAIL
R61	sf_bq085	1	0	ELAB_FAIL
R61	sf_bq085	1	0	ELAB_FAIL
R61	sf_bq085	1	0	ELAB_FAIL
R61	sf_bq085	1	0	ELAB_FAIL
R61	sf_bq085	1	0	ELAB_FAIL
R62	sf_bq086	1	0	TIMEOUT
R62	sf_bq086	1	0	TIMEOUT
R62	sf_bq086	1	0	TIMEOUT
R62	sf_bq086	1	0	TIMEOUT
R62	sf_bq086	1	0	TIMEOUT
R62	sf_bq086	1	0	TIMEOUT
R63	sf_bq087	1	0	ELAB_FAIL
R63	sf_bq087	1	0	ELAB_FAIL
R63	sf_bq087	1	0	ELAB_FAIL
R63	sf_bq087	1	0	PROOF_FAIL
R63	sf_bq087	1	0	PROOF_FAIL
R63	sf_bq087	1	0	PROOF_FAIL
R64	sf_bq088	1	0	PROOF_FAIL
R64	sf_bq088	1	0	PROOF_FAIL
R64	sf_bq088	1	0	PROOF_FAIL
R64	sf_bq088	1	0	TIMEOUT
R64	sf_bq088	1	0	TIMEOUT
R64	sf_bq088	1	0	TIMEOUT
R65	sf_bq090	1	0	ELAB_FAIL
R65	sf_bq090	1	0	ELAB_FAIL
R65	sf_bq090	1	0	ELAB_FAIL
R65	sf_bq090	1	0	ELAB_FAIL
R65	sf_bq090	1	0	ELAB_FAIL
R65	sf_bq090	1	0	ELAB_FAIL
R66	sf_bq092	1	0	ELAB_FAIL
R67	sf_bq094	1	0	ELAB_FAIL
R67	sf_bq094	1	0	ELAB_FAIL
R67	sf_bq094	1	0	ELAB_FAIL
R68	sf_bq095	1	0	ELAB_FAIL
R68	sf_bq095	1	0	ELAB_FAIL
R68	sf_bq095	1	0	ELAB_FAIL
R68	sf_bq095	1	0	ELAB_FAIL
R68	sf_bq095	1	0	ELAB_FAIL
R68	sf_bq095	1	0	ELAB_FAIL
R69	sf_bq096	1	0	ELAB_FAIL
R69	sf_bq096	1	0	ELAB_FAIL
R69	sf_bq096	1	0	ELAB_FAIL
R69	sf_bq096	1	0	ELAB_FAIL
R69	sf_bq096	1	0	ELAB_FAIL
R69	sf_bq096	1	0	ELAB_FAIL
R70	sf_bq098	1	0	ELAB_FAIL
R70	sf_bq098	1	0	ELAB_FAIL
R70	sf_bq098	1	0	ELAB_FAIL
R70	sf_bq098	1	0	ELAB_FAIL
R70	sf_bq098	1	0	ELAB_FAIL
R70	sf_bq098	1	0	ELAB_FAIL
R71	sf_bq100	1	0	ELAB_FAIL
R71	sf_bq100	1	0	ELAB_FAIL
R71	sf_bq100	1	0	ELAB_FAIL
R71	sf_bq100	1	0	ELAB_FAIL
R71	sf_bq100	1	0	ELAB_FAIL
R71	sf_bq100	1	0	ELAB_FAIL
R72	sf_bq101	1	0	ELAB_FAIL
R73	sf_bq103	1	0	ELAB_FAIL
R73	sf_bq103	1	0	ELAB_FAIL
R73	sf_bq103	1	0	ELAB_FAIL
R73	sf_bq103	1	0	ELAB_FAIL
R73	sf_bq103	1	0	ELAB_FAIL
R73	sf_bq103	1	0	ELAB_FAIL
R75	sf_bq107	1	0	ELAB_FAIL
R75	sf_bq107	1	0	ELAB_FAIL
R75	sf_bq107	1	0	ELAB_FAIL
R75	sf_bq107	1	0	ELAB_FAIL
R75	sf_bq107	1	0	ELAB_FAIL
R75	sf_bq107	1	0	ELAB_FAIL
R76	sf_bq108	1	0	ELAB_FAIL
R76	sf_bq108	1	0	ELAB_FAIL
R76	sf_bq108	1	0	ELAB_FAIL
R77	sf_bq112	1	0	ELAB_FAIL
R77	sf_bq112	1	0	ELAB_FAIL
R77	sf_bq112	1	0	ELAB_FAIL
R77	sf_bq112	1	0	ELAB_FAIL
R77	sf_bq112	1	0	ELAB_FAIL
R77	sf_bq112	1	0	ELAB_FAIL
R78	sf_bq113	1	0	ELAB_FAIL
R78	sf_bq113	1	0	ELAB_FAIL
R78	sf_bq113	1	0	ELAB_FAIL
R78	sf_bq113	1	0	TIMEOUT
R78	sf_bq113	1	0	TIMEOUT
R78	sf_bq113	1	0	TIMEOUT
R79	sf_bq114	1	0	ELAB_FAIL
R79	sf_bq114	1	0	ELAB_FAIL
R79	sf_bq114	1	0	ELAB_FAIL
R79	sf_bq114	1	0	ELAB_FAIL
R79	sf_bq114	1	0	ELAB_FAIL
R79	sf_bq114	1	0	ELAB_FAIL
R80	sf_bq115	1	0	ELAB_FAIL
R80	sf_bq115	1	0	ELAB_FAIL
R80	sf_bq115	1	0	ELAB_FAIL
R80	sf_bq115	1	0	ELAB_FAIL
R80	sf_bq115	1	0	ELAB_FAIL
R80	sf_bq115	1	0	ELAB_FAIL
R81	sf_bq117	1	0	ELAB_FAIL
R81	sf_bq117	1	0	ELAB_FAIL
R81	sf_bq117	1	0	ELAB_FAIL
R81	sf_bq117	1	0	ELAB_FAIL
R81	sf_bq117	1	0	ELAB_FAIL
R81	sf_bq117	1	0	ELAB_FAIL
R82	sf_bq118	1	0	ELAB_FAIL
R82	sf_bq118	1	0	ELAB_FAIL
R82	sf_bq118	1	0	ELAB_FAIL
R82	sf_bq118	1	0	ELAB_FAIL
R82	sf_bq118	1	0	ELAB_FAIL
R82	sf_bq118	1	0	ELAB_FAIL
R84	sf_bq120	1	0	ELAB_FAIL
R84	sf_bq120	1	0	ELAB_FAIL
R84	sf_bq120	1	0	ELAB_FAIL
R84	sf_bq120	1	0	ELAB_FAIL
R84	sf_bq120	1	0	ELAB_FAIL
R84	sf_bq120	1	0	ELAB_FAIL
R86	sf_bq124	1	0	ELAB_FAIL
R86	sf_bq124	1	0	ELAB_FAIL
R86	sf_bq124	1	0	ELAB_FAIL
R86	sf_bq124	1	0	ELAB_FAIL
R86	sf_bq124	1	0	ELAB_FAIL
R86	sf_bq124	1	0	ELAB_FAIL
R87	sf_bq126	1	0	ELAB_FAIL
R87	sf_bq126	1	0	ELAB_FAIL
R87	sf_bq126	1	0	ELAB_FAIL
R87	sf_bq126	1	0	PROOF_FAIL
R87	sf_bq126	1	0	PROOF_FAIL
R87	sf_bq126	1	1	PROVEN
R88	sf_bq131	1	0	ELAB_FAIL
R88	sf_bq131	1	0	ELAB_FAIL
R88	sf_bq131	1	0	ELAB_FAIL
R88	sf_bq131	1	0	ELAB_FAIL
R88	sf_bq131	1	0	ELAB_FAIL
R88	sf_bq131	1	0	ELAB_FAIL
R89	sf_bq135	1	0	ELAB_FAIL
R89	sf_bq135	1	0	ELAB_FAIL
R89	sf_bq135	1	0	ELAB_FAIL
R89	sf_bq135	1	0	ELAB_FAIL
R89	sf_bq135	1	0	ELAB_FAIL
R89	sf_bq135	1	0	ELAB_FAIL
R90	sf_bq136	1	0	ELAB_FAIL
R90	sf_bq136	1	0	ELAB_FAIL
R90	sf_bq136	1	0	ELAB_FAIL
R90	sf_bq136	1	0	ELAB_FAIL
R90	sf_bq136	1	0	ELAB_FAIL
R90	sf_bq136	1	0	ELAB_FAIL
R91	sf_bq137	1	0	ELAB_FAIL
R91	sf_bq137	1	0	ELAB_FAIL
R91	sf_bq137	1	0	TIMEOUT
R93	sf_bq144	1	0	ELAB_FAIL
R93	sf_bq144	1	0	ELAB_FAIL
R93	sf_bq144	1	0	ELAB_FAIL
R94	sf_bq148	1	0	ELAB_FAIL
R94	sf_bq148	1	0	ELAB_FAIL
R94	sf_bq148	1	0	ELAB_FAIL
R97	sf_bq156	1	0	ELAB_FAIL
R97	sf_bq156	1	0	ELAB_FAIL
R97	sf_bq156	1	0	ELAB_FAIL
R97	sf_bq156	1	0	ELAB_FAIL
R97	sf_bq156	1	0	ELAB_FAIL
R97	sf_bq156	1	0	ELAB_FAIL
R98	sf_bq157	1	0	ELAB_FAIL
R98	sf_bq157	1	0	ELAB_FAIL
R98	sf_bq157	1	0	ELAB_FAIL
R98	sf_bq157	1	0	ELAB_FAIL
R98	sf_bq157	1	0	ELAB_FAIL
R98	sf_bq157	1	0	ELAB_FAIL
R99	sf_bq160	1	0	ELAB_FAIL
R99	sf_bq160	1	0	ELAB_FAIL
R99	sf_bq160	1	0	ELAB_FAIL
R99	sf_bq160	1	0	ELAB_FAIL
R99	sf_bq160	1	0	ELAB_FAIL
R99	sf_bq160	1	0	ELAB_FAIL
R100	sf_bq161	1	0	ELAB_FAIL
R100	sf_bq161	1	0	ELAB_FAIL
R100	sf_bq161	1	0	ELAB_FAIL
R101	sf_bq162	1	0	ELAB_FAIL
R101	sf_bq162	1	0	ELAB_FAIL
R101	sf_bq162	1	0	ELAB_FAIL
R101	sf_bq162	1	0	ELAB_FAIL
R101	sf_bq162	1	0	ELAB_FAIL
R101	sf_bq162	1	0	ELAB_FAIL
R102	sf_bq169	1	0	ELAB_FAIL
R102	sf_bq169	1	0	ELAB_FAIL
R102	sf_bq169	1	0	ELAB_FAIL
R102	sf_bq169	1	0	ELAB_FAIL
R102	sf_bq169	1	0	ELAB_FAIL
R102	sf_bq169	1	1	PROVEN
R103	sf_bq170	1	0	ELAB_FAIL
R104	sf_bq171	1	0	ELAB_FAIL
R104	sf_bq171	1	0	ELAB_FAIL
R104	sf_bq171	1	0	ELAB_FAIL
R104	sf_bq171	1	0	ELAB_FAIL
R104	sf_bq171	1	0	ELAB_FAIL
R104	sf_bq171	1	0	ELAB_FAIL
R105	sf_bq172	1	0	ELAB_FAIL
R105	sf_bq172	1	0	ELAB_FAIL
R105	sf_bq172	1	0	ELAB_FAIL
R105	sf_bq172	1	0	ELAB_FAIL
R105	sf_bq172	1	0	ELAB_FAIL
R105	sf_bq172	1	0	ELAB_FAIL
R107	sf_bq177	1	0	ELAB_FAIL
R107	sf_bq177	1	0	ELAB_FAIL
R107	sf_bq177	1	0	ELAB_FAIL
R107	sf_bq177	1	0	ELAB_FAIL
R107	sf_bq177	1	0	ELAB_FAIL
R107	sf_bq177	1	0	ELAB_FAIL
R108	sf_bq180	1	0	ELAB_FAIL
R109	sf_bq181	1	0	ELAB_FAIL
R109	sf_bq181	1	0	ELAB_FAIL
R109	sf_bq181	1	0	ELAB_FAIL
R109	sf_bq181	1	0	ELAB_FAIL
R109	sf_bq181	1	0	ELAB_FAIL
R109	sf_bq181	1	0	ELAB_FAIL
R111	sf_bq185	1	0	ELAB_FAIL
R111	sf_bq185	1	0	ELAB_FAIL
R111	sf_bq185	1	0	ELAB_FAIL
R111	sf_bq185	1	0	TIMEOUT
R111	sf_bq185	1	0	TIMEOUT
R111	sf_bq185	1	0	TIMEOUT
R112	sf_bq186	1	0	ELAB_FAIL
R112	sf_bq186	1	0	ELAB_FAIL
R112	sf_bq186	1	0	ELAB_FAIL
R115	sf_bq192	1	0	ELAB_FAIL
R117	sf_bq195	1	0	ELAB_FAIL
R117	sf_bq195	1	0	ELAB_FAIL
R117	sf_bq195	1	0	ELAB_FAIL
R117	sf_bq195	1	0	ELAB_FAIL
R117	sf_bq195	1	0	ELAB_FAIL
R117	sf_bq195	1	0	ELAB_FAIL
R119	sf_bq198	1	0	TIMEOUT
R119	sf_bq198	1	0	TIMEOUT
R119	sf_bq198	1	0	TIMEOUT
R119	sf_bq198	1	0	TIMEOUT
R119	sf_bq198	1	0	TIMEOUT
R119	sf_bq198	1	0	TIMEOUT
R120	sf_bq199	1	0	ELAB_FAIL
R120	sf_bq199	1	0	ELAB_FAIL
R120	sf_bq199	1	0	ELAB_FAIL
R120	sf_bq199	1	0	ELAB_FAIL
R120	sf_bq199	1	0	ELAB_FAIL
R120	sf_bq199	1	0	ELAB_FAIL
R122	sf_bq202	1	0	ELAB_FAIL
R122	sf_bq202	1	0	ELAB_FAIL
R122	sf_bq202	1	0	ELAB_FAIL
R123	sf_bq203	1	0	ELAB_FAIL
R125	sf_bq208	1	0	ELAB_FAIL
R125	sf_bq208	1	0	ELAB_FAIL
R125	sf_bq208	1	0	ELAB_FAIL
R125	sf_bq208	1	0	ELAB_FAIL
R125	sf_bq208	1	0	ELAB_FAIL
R125	sf_bq208	1	0	ELAB_FAIL
R126	sf_bq211	1	0	ELAB_FAIL
R126	sf_bq211	1	0	ELAB_FAIL
R126	sf_bq211	1	0	PROOF_FAIL
R126	sf_bq211	1	0	PROOF_FAIL
R126	sf_bq211	1	0	PROOF_FAIL
R126	sf_bq211	1	0	TIMEOUT
R128	sf_bq214	1	0	ELAB_FAIL
R128	sf_bq214	1	0	ELAB_FAIL
R128	sf_bq214	1	0	ELAB_FAIL
R130	sf_bq217	1	0	ELAB_FAIL
R130	sf_bq217	1	0	ELAB_FAIL
R130	sf_bq217	1	0	ELAB_FAIL
R130	sf_bq217	1	0	ELAB_FAIL
R130	sf_bq217	1	0	ELAB_FAIL
R130	sf_bq217	1	0	ELAB_FAIL
R131	sf_bq218	1	0	ELAB_FAIL
R131	sf_bq218	1	0	ELAB_FAIL
R131	sf_bq218	1	0	ELAB_FAIL
R132	sf_bq220	1	0	ELAB_FAIL
R132	sf_bq220	1	0	ELAB_FAIL
R132	sf_bq220	1	0	ELAB_FAIL
R132	sf_bq220	1	0	ELAB_FAIL
R132	sf_bq220	1	0	ELAB_FAIL
R132	sf_bq220	1	0	ELAB_FAIL
R133	sf_bq225	1	0	ELAB_FAIL
R133	sf_bq225	1	0	ELAB_FAIL
R133	sf_bq225	1	0	ELAB_FAIL
R133	sf_bq225	1	0	TIMEOUT
R133	sf_bq225	1	0	TIMEOUT
R133	sf_bq225	1	0	TIMEOUT
R134	sf_bq226	1	0	ELAB_FAIL
R134	sf_bq226	1	0	ELAB_FAIL
R134	sf_bq226	1	0	ELAB_FAIL
R136	sf_bq229	1	0	ELAB_FAIL
R136	sf_bq229	1	0	ELAB_FAIL
R136	sf_bq229	1	0	ELAB_FAIL
R136	sf_bq229	1	0	ELAB_FAIL
R136	sf_bq229	1	0	ELAB_FAIL
R136	sf_bq229	1	0	ELAB_FAIL
R137	sf_bq230	1	0	ELAB_FAIL
R137	sf_bq230	1	0	ELAB_FAIL
R137	sf_bq230	1	0	ELAB_FAIL
R137	sf_bq230	1	0	ELAB_FAIL
R137	sf_bq230	1	0	ELAB_FAIL
R137	sf_bq230	1	0	ELAB_FAIL
R138	sf_bq232	1	0	PROOF_FAIL
R138	sf_bq232	1	0	PROOF_FAIL
R138	sf_bq232	1	1	PROVEN
R139	sf_bq235	1	0	ELAB_FAIL
R139	sf_bq235	1	0	ELAB_FAIL
R139	sf_bq235	1	0	ELAB_FAIL
R139	sf_bq235	1	0	ELAB_FAIL
R139	sf_bq235	1	0	ELAB_FAIL
R139	sf_bq235	1	0	ELAB_FAIL
R140	sf_bq247	1	0	ELAB_FAIL
R140	sf_bq247	1	0	ELAB_FAIL
R140	sf_bq247	1	0	ELAB_FAIL
R140	sf_bq247	1	0	ELAB_FAIL
R140	sf_bq247	1	0	ELAB_FAIL
R140	sf_bq247	1	0	ELAB_FAIL
R142	sf_bq253	1	0	ELAB_FAIL
R142	sf_bq253	1	0	ELAB_FAIL
R142	sf_bq253	1	0	ELAB_FAIL
R144	sf_bq259	1	0	ELAB_FAIL
R144	sf_bq259	1	0	ELAB_FAIL
R144	sf_bq259	1	0	ELAB_FAIL
R149	sf_bq269	1	0	ELAB_FAIL
R149	sf_bq269	1	0	ELAB_FAIL
R149	sf_bq269	1	0	ELAB_FAIL
R149	sf_bq269	1	0	ELAB_FAIL
R149	sf_bq269	1	0	ELAB_FAIL
R149	sf_bq269	1	0	ELAB_FAIL
R150	sf_bq270	1	0	ELAB_FAIL
R150	sf_bq270	1	0	ELAB_FAIL
R150	sf_bq270	1	0	ELAB_FAIL
R152	sf_bq278	1	0	ELAB_FAIL
R152	sf_bq278	1	0	ELAB_FAIL
R152	sf_bq278	1	0	ELAB_FAIL
R152	sf_bq278	1	0	ELAB_FAIL
R152	sf_bq278	1	0	ELAB_FAIL
R152	sf_bq278	1	0	ELAB_FAIL
R153	sf_bq279	1	0	ELAB_FAIL
R153	sf_bq279	1	0	ELAB_FAIL
R153	sf_bq279	1	0	ELAB_FAIL
R153	sf_bq279	1	0	ELAB_FAIL
R153	sf_bq279	1	0	ELAB_FAIL
R153	sf_bq279	1	0	ELAB_FAIL
R154	sf_bq280	1	0	ELAB_FAIL
R154	sf_bq280	1	0	ELAB_FAIL
R154	sf_bq280	1	0	ELAB_FAIL
R155	sf_bq281	1	0	ELAB_FAIL
R155	sf_bq281	1	0	ELAB_FAIL
R155	sf_bq281	1	0	ELAB_FAIL
R155	sf_bq281	1	0	ELAB_FAIL
R155	sf_bq281	1	0	ELAB_FAIL
R155	sf_bq281	1	0	ELAB_FAIL
R156	sf_bq282	1	0	ELAB_FAIL
R156	sf_bq282	1	0	ELAB_FAIL
R156	sf_bq282	1	0	ELAB_FAIL
R158	sf_bq284	1	0	ELAB_FAIL
R158	sf_bq284	1	0	ELAB_FAIL
R158	sf_bq284	1	0	ELAB_FAIL
R158	sf_bq284	1	0	ELAB_FAIL
R158	sf_bq284	1	0	TIMEOUT
R158	sf_bq284	1	0	TIMEOUT
R159	sf_bq285	1	0	ELAB_FAIL
R159	sf_bq285	1	0	ELAB_FAIL
R159	sf_bq285	1	0	ELAB_FAIL
R160	sf_bq286	1	0	ELAB_FAIL
R160	sf_bq286	1	0	ELAB_FAIL
R160	sf_bq286	1	0	ELAB_FAIL
R160	sf_bq286	1	0	ELAB_FAIL
R160	sf_bq286	1	0	ELAB_FAIL
R160	sf_bq286	1	0	ELAB_FAIL
R161	sf_bq287	1	0	ELAB_FAIL
R161	sf_bq287	1	0	ELAB_FAIL
R161	sf_bq287	1	0	ELAB_FAIL
